id,mean_semantic_sim,max_sim,min_sim,std_sim,range_sim,mean_jaccard_sim,std_jaccard_sim,mean_entity_overlap,max_entity_overlap,mean_inter_semantic_sim,std_inter_semantic_sim,PPL_Stem,PPL_Option_Mean,PPL_Gap,PPL_Range,is_Why,is_How,is_When,is_Compare,is_Negation,Bloom_Label
1,0.8901872634887695,0.9179547429084778,0.871351420879364,0.0200465787202119,0.0466033220291137,0.2,2.775557561562892e-17,0.0,0.0,0.8665687441825867,0.0085412403568625,44.21025085449219,51.91018486022949,7.699934005737305,11.327945709228516,0,0,0,0,0,Remember
2,0.8248567581176758,0.8530576825141907,0.79069983959198,0.0258034914731979,0.0623578429222106,0.0555555555555555,0.0785674201318386,0.0,0.0,0.8213803172111511,0.0255637038499116,36.797489166259766,35.45661449432373,1.3408746719360352,15.251169204711914,0,0,0,0,1,Understand
3,0.8632743954658508,0.8852735161781311,0.8244219422340393,0.0275530591607093,0.0608515739440918,0.2874577748719625,0.022454827281057,0.0,0.0,0.8543742299079895,0.0274733901023864,33.54276657104492,35.41684293746948,1.8740763664245603,16.33411979675293,0,0,0,0,0,Remember
4,0.8561058044433594,0.8638660311698914,0.8428316712379456,0.0094309458509087,0.0210343599319458,0.0296442687747035,0.0209771848854949,0.0,0.0,0.8571898341178894,0.0216966029256582,43.35961151123047,41.27939701080322,2.080214500427246,36.99710464477539,0,0,0,0,0,Remember
5,0.803111732006073,0.8408526182174683,0.7309646010398865,0.0510338582098484,0.1098880171775817,0.0,0.0,0.0,0.0,0.8015448451042175,0.033448226749897,91.93536376953124,11456.92088508606,11364.985521316528,45453.47261810303,0,0,0,0,0,Remember
6,0.7771880626678467,0.7945902943611145,0.7533242106437683,0.0174554139375686,0.0412660837173461,0.3222222222222222,0.0157134840263677,0.0,0.0,0.7856958508491516,0.0055327848531305,23.51051521301269,64.45923328399658,40.94871807098389,63.27044677734375,0,0,0,0,1,Remember
7,0.7885122299194336,0.7903338670730591,0.7866906523704529,0.0018216073513031,0.0036432147026062,0.0,0.0,0.0,0.0,0.8367905616760254,0.0,48.59857940673828,72.30238469441731,23.70380528767903,68.54347229003906,0,0,0,0,0,Remember
8,0.7677103877067566,0.7818849086761475,0.7470285892486572,0.0149554815143346,0.0348563194274902,0.0284202569916855,0.0201506669121108,0.0,0.0,0.8072302341461182,0.0434043109416961,84.70484161376953,30.326452255249023,54.37838935852051,32.0081729888916,0,0,0,0,0,Remember
9,0.883525550365448,0.8924936056137085,0.8777168989181519,0.00643295282498,0.0147767066955566,0.0,0.0,0.0,0.0,0.8739709258079529,0.0091153737157583,16.70374298095703,252.55889129638672,235.8551483154297,624.2038345336914,0,0,0,0,0,Analyze
10,0.8221468925476074,0.8328465223312378,0.8031596541404724,0.0134620545431971,0.0296868681907653,0.1486068111455108,0.0748603140694412,0.0,0.0,0.8626047968864441,0.0195782333612442,37.81515502929688,72.19374465942383,34.37858963012695,65.21927261352539,0,0,0,0,0,Remember
